,outputs
10,"{'ID': 11, 'name': 'restore:', 'address': 'Кутузовский просп., 26, корп. 1, Москва', 'website': 're-store.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/restore_/1121767071/?ll=37.542626%2C55.743411&z=16', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['+7 (495) 974-14-15Показать телефон'], 'social': ['https://vk.com/re_store', 'https://www.youtube.com/user/restoreapr']}"
11,"{'ID': 12, 'name': 'Электроника СК', 'address': 'Запорожская ул., 5, Москва', 'website': '', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': '10:00-19:00', 'sun': '10:00-17:00'}, 'ypage': 'https://yandex.ru/maps/org/elektronika_sk/1059765300/?ll=37.402501%2C55.722814&z=14', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['+7 (495) 447-16-15Показать телефон'], 'social': []}"
12,"{'ID': 13, 'name': '4Print', 'address': 'ул. Сущёвский Вал, 5, стр. 1А, Москва', 'website': '4print.pro', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/4print/1152566123/?ll=37.592833%2C55.794143&z=16', 'goods': None, 'rating': '4,2', 'reviews': None, 'phone': ['+7 (926) 953-74-18Показать телефон'], 'social': ['https://vk.com/fourprint']}"
13,"{'ID': 14, 'name': 'ProInside.net', 'address': 'Багратионовский пр., 7, корп. 2, Москва', 'website': 'proinside.net', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '11:00-18:00', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/proinside_net/17904084983/?ll=37.501312%2C55.741764&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 762-40-10Показать телефон'], 'social': ['https://t.me/Proinsidenet', 'https://viber.click/79857624010', 'https://vk.com/proinsidenet', 'https://wa.me/79857624010', 'https://youtube.com/channel/UCuGBQJ9hi5u_1Lza9dmtS0g']}"
14,"{'ID': 15, 'name': 'Palmexx', 'address': 'ул. Сущёвский Вал, 5, стр. 1А, Москва', 'website': 'www.palmexx.ru', 'opening_hours': {'mon': '12:00-20:00', 'tue': '12:00-20:00', 'wed': '12:00-20:00', 'thu': '12:00-20:00', 'fri': '12:00-20:00', 'sat': '12:00-20:00', 'sun': '12:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/palmexx/1245760647/', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 185-58-50Показать телефон'], 'social': []}"
15,"{'ID': 16, 'name': 'Империя Hd', 'address': 'Багратионовский пр., 7, корп. 3, Москва', 'website': '', 'opening_hours': {'mon': '10:00-18:00', 'tue': '10:00-18:00', 'wed': '10:00-18:00', 'thu': '10:00-18:00', 'fri': '10:00-18:00', 'sat': '10:00-18:00', 'sun': '10:00-18:00'}, 'ypage': 'https://yandex.ru/maps/org/imperiya_hd/73288056649/?ll=37.504232%2C55.742184&z=16', 'goods': None, 'rating': '4,2', 'reviews': None, 'phone': ['+7 (903) 790-38-21Показать телефон'], 'social': []}"
16,"{'ID': 17, 'name': 'Олди', 'address': 'ул. Малышева, 20, Москва', 'website': 'www.oldi.ru', 'opening_hours': {'mon': '09:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00', 'sun': '09:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/oldi/1216099985/?ll=37.742167%2C55.700701&z=14', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['8 (800) 775-11-11Показать телефон'], 'social': ['https://ok.ru/oldiru', 'https://vk.com/oldiretail', 'https://www.youtube.com/user/OLDIComputers']}"
17,"{'ID': 18, 'name': 'Kypla.ru', 'address': 'Багратионовский пр., 7, корп. 20В, Москва', 'website': 'kypla.ru', 'opening_hours': {'mon': '09:00-22:00', 'tue': '09:00-22:00', 'wed': '09:00-22:00', 'thu': '09:00-22:00', 'fri': '09:00-22:00', 'sat': '09:00-22:00', 'sun': '09:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/kypla_ru/147647899237/?ll=37.505507%2C55.743522&z=16', 'goods': None, 'rating': '4,1', 'reviews': None, 'phone': ['8 (800) 222-97-91Показать телефон'], 'social': []}"
18,"{'ID': 19, 'name': 'Электроника', 'address': 'Пятницкое ш., 43, Москва', 'website': '', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'sun': '10:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/elektronika/220028282805/?ll=37.350809%2C55.857276&z=14', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (915) 097-77-11Показать телефон'], 'social': []}"
19,"{'ID': 20, 'name': 'Samsung', 'address': 'Кутузовский просп., 57, Москва', 'website': 'galaxystore.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/samsung/72650401551/?ll=37.476168%2C55.727932&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 797-47-10Показать телефон'], 'social': ['https://vk.com/galaxystore.russia']}"
20,"{'ID': 21, 'name': 'DNS', 'address': 'Жилинская ул., с1, рабочий посёлок Андреевка', 'website': 'dns-shop.ru', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/dns/35467509173/?ll=37.141576%2C55.983117&z=15', 'goods': None, 'rating': '4,2', 'reviews': None, 'phone': ['8 (800) 770-79-99Показать телефон'], 'social': ['https://vk.com/dnsstore', 'https://www.youtube.com/c/DNSTV']}"
21,"{'ID': 22, 'name': 'Технопарк', 'address': 'Севастопольский просп., 11Е, Москва', 'website': 'www.technopark.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/tekhnopark/29458713568/?ll=37.603918%2C55.687051&z=16', 'goods': None, 'rating': '4,5', 'reviews': None, 'phone': ['+7 (495) 755-57-77 (доб. 3600)Показать телефон'], 'social': ['http://vk.com/technoparkru', 'https://ok.ru/group/52570757267676']}"
22,"{'ID': 23, 'name': 'GitUp', 'address': 'ул. Маршала Бирюзова, 1, корп. 1А, Москва', 'website': 'gituphd.ru', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': 'выходной', 'thu': 'выходной', 'fri': 'выходной', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/gitup/1770601332/?ll=37.498757%2C55.789140&z=15', 'goods': None, 'rating': '4,7', 'reviews': None, 'phone': ['+7 (495) 641-84-82Показать телефон'], 'social': ['http://vk.com/gituphd', 'https://www.youtube.com/channel/UCb1tDXWPLdhegegjXWjCGyA']}"
23,"{'ID': 24, 'name': 'М.Видео', 'address': 'Большая Черёмушкинская ул., 1, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1109345207/?ll=37.601878%2C55.690283&z=16', 'goods': None, 'rating': '4,2', 'reviews': None, 'phone': ['8 (800) 600-77-75Показать телефон'], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
24,"{'ID': 25, 'name': 'Ноу-Хау', 'address': 'просп. Вернадского, 86А, Москва', 'website': 'ноу-хау.рф', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/nou_khau/1544048703/?ll=37.480993%2C55.663020&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 514-12-12Показать телефон'], 'social': ['http://youtube.com/user/iontelevision', 'https://t.me/know_how_shop', 'https://vk.com/know_how_shop']}"
25,"{'ID': 26, 'name': 'Lsteam.ru', 'address': 'ул. 1905 года, 7, стр. 1, Москва', 'website': 'lsteam.ru', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/lsteam_ru/195772978564/?ll=37.559208%2C55.763054&z=15', 'goods': None, 'rating': '4,6', 'reviews': None, 'phone': ['+7 (495) 933-02-22Показать телефон'], 'social': ['http://youtube.com/channel/UCD8BgCUc6gXNDkmsd3m5fSA', 'https://wa.me/79253809212']}"
26,"{'ID': 27, 'name': 'Samsung', 'address': 'Автозаводская ул., 18, Москва', 'website': 'galaxystore.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/samsung/7838823429/?ll=37.638363%2C55.705302&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 105-92-41Показать телефон'], 'social': ['https://vk.com/galaxystore.russia']}"
27,"{'ID': 28, 'name': 'Sprintmarket.ru', 'address': '2-й Хорошёвский пр., 7, стр. 1В, Москва', 'website': 'sprintmarket.ru', 'opening_hours': {'mon': '07:00-15:30', 'tue': '07:00-15:30', 'wed': '07:00-15:30', 'thu': '07:00-15:30', 'fri': '07:00-15:30', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/sprintmarket_ru/79238070113/?ll=37.530283%2C55.771429&z=16', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (495) 970-69-83Показать телефон'], 'social': ['https://wa.me/79123100096']}"
28,"{'ID': 29, 'name': 'М.Видео', 'address': 'Западная ул., 180, рабочий посёлок Новоивановское', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': '13:00-21:00', 'tue': '09:00-21:00', 'wed': '09:00-21:00', 'thu': '09:00-21:00', 'fri': '09:00-21:00', 'sat': '09:00-21:00', 'sun': '09:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/126246260457/?ll=37.343649%2C55.699497&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
29,"{'ID': 30, 'name': 'Promobile', 'address': 'Пятницкое ш., 18, Москва', 'website': 'store-mi.ru', 'opening_hours': {'mon': '09:00-20:00', 'tue': '09:00-20:00', 'wed': '09:00-20:00', 'thu': '09:00-20:00', 'fri': '09:00-20:00', 'sat': '09:00-20:00', 'sun': '09:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/promobile/232284944696/?ll=37.383633%2C55.844334&z=16', 'goods': None, 'rating': '5,0', 'reviews': None, 'phone': ['+7 (901) 468-28-91Показать телефон'], 'social': ['http://vk.com/xiaomimistore', 'https://t.me/ProMobile_shop', 'https://wa.me/79154882888']}"
30,"{'ID': 31, 'name': 'Радиотовары', 'address': 'Измайловский бул., 12, Москва', 'website': 'www.digi-zone.ru', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': '11:00-18:00', 'thu': '11:00-18:00', 'fri': '11:00-18:00', 'sat': '11:00-18:00', 'sun': '11:00-18:00'}, 'ypage': 'https://yandex.ru/maps/org/radiotovary/1097462639/?ll=37.787142%2C55.796262&z=14', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 465-56-50Показать телефон'], 'social': ['https://viber.click/79856448938', 'https://wa.me/79856448938']}"
31,"{'ID': 32, 'name': 'М.Видео', 'address': 'Варшавское ш., 140, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': '12:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/61352793312/?ll=37.608050%2C55.612075&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
32,"{'ID': 33, 'name': 'Галерея Назаров', 'address': 'Нахимовский просп., 24, стр. 1, Москва', 'website': 'nazarov-gallery.ru', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'sun': '10:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/galereya_nazarov/157125058384/?ll=37.584352%2C55.672130&z=14', 'goods': None, 'rating': '4,1', 'reviews': None, 'phone': ['+7 (495) 646-71-07Показать телефон'], 'social': ['http://youtube.com/channel/UCwzDaHmhUx0m389VdknSE6A', 'https://t.me/gallerynazarov', 'https://vk.com/nasarovru']}"
33,"{'ID': 34, 'name': 'М.Видео', 'address': 'Московская область, городской округ Пушкинский, М-8 Холмогоры, 33-й километр, с18', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/156982971986/?ll=37.881731%2C56.000377&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
34,"{'ID': 35, 'name': 'Электория', 'address': 'ул. Сущёвский Вал, 43, стр. 2, Москва', 'website': '', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '12:00-15:00', 'sun': '12:00-15:00'}, 'ypage': 'https://yandex.ru/maps/org/elektoriya/1211134486/?ll=37.609959%2C55.793859&z=16', 'goods': None, 'rating': '4,2', 'reviews': None, 'phone': ['+7 (495) 769-34-91Показать телефон'], 'social': []}"
35,"{'ID': 36, 'name': 'Ситилинк', 'address': 'Можайское ш., 159, Одинцово', 'website': 'www.citilink.ru', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/sitilink/150267273454/?ll=37.305357%2C55.686691&z=15', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 780-20-02Показать телефон'], 'social': ['https://ok.ru/citilink.ru', 'https://vk.com/citilink_ru', 'https://www.youtube.com/user/CitilinkTV']}"
36,"{'ID': 37, 'name': 'Эльдорадо', 'address': 'Литовский бул., 22, Москва', 'website': 'app.eldorado.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/eldorado/1125383255/?ll=37.537587%2C55.611969&z=16', 'goods': None, 'rating': '4,0', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/eldorado.stores', 'https://t.me/eldorado_official_bot', 'https://vk.com/eldorado_stores', 'https://www.youtube.com/user/eldoradovideo']}"
37,"{'ID': 38, 'name': 'Gb Store', 'address': 'ул. Барклая, 8, Москва', 'website': 'gbstore.ru', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'sun': '10:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/gb_store/1028664051/', 'goods': None, 'rating': '', 'reviews': None, 'phone': ['+7 (495) 775-59-98Показать телефон'], 'social': ['https://t.me/Gbstorebot', 'https://vk.com/gbstore']}"
38,"{'ID': 39, 'name': 'Gsmking.ru', 'address': 'Багратионовский пр., 7, корп. 3, Москва', 'website': 'gsmking.ru', 'opening_hours': {'mon': '10:30-20:00', 'tue': '10:30-20:00', 'wed': '10:30-20:00', 'thu': '10:30-20:00', 'fri': '10:30-20:00', 'sat': '11:00-19:00', 'sun': '11:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/gsmking_ru/1680841878/?ll=37.504232%2C55.742184&z=16', 'goods': None, 'rating': '4,9', 'reviews': None, 'phone': ['+7 (903) 798-51-56Показать телефон'], 'social': ['https://t.me/79037985156', 'https://wa.me/79037985156']}"
39,"{'ID': 40, 'name': 'Audiomania', 'address': 'Ходынский бул., 20А, Москва', 'website': 'www.audiomania.ru', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00', 'sun': '11:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/audiomania/105564022403/?ll=37.523289%2C55.791269&z=15', 'goods': None, 'rating': '5,0', 'reviews': None, 'phone': ['+7 (495) 108-75-26Показать телефон'], 'social': ['https://t.me/audiomaniaRU', 'https://vk.com/audiomania', 'https://wa.me/74952680468', 'https://www.youtube.com/user/AudiomaniaVideo']}"
40,"{'ID': 41, 'name': 'Технолайн', 'address': 'Пятницкое ш., 18, Москва', 'website': 'techno-line.store', 'opening_hours': {'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': '10:00-19:00', 'sun': '10:00-19:00'}, 'ypage': 'https://yandex.ru/maps/org/tekhnolayn/79043885143/?ll=37.383633%2C55.844334&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (906) 710-13-79Показать телефон'], 'social': ['https://t.me/technohub_store', 'https://wa.me/79067101379']}"
41,"{'ID': 42, 'name': 'SoundProLab', 'address': 'Николоямский пер., 4/6с3, Москва', 'website': 'www.spl.ru', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': 'выходной', 'thu': '11:00-19:00', 'fri': '11:00-19:00', 'sat': '11:00-19:00', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/soundprolab/1101537096/?ll=37.660515%2C55.748356&z=15', 'goods': None, 'rating': '4,9', 'reviews': None, 'phone': ['8 (800) 770-75-53Показать телефон'], 'social': ['https://vk.com/soundprolab', 'https://www.youtube.com/channel/UCaFy9GlumeU3Bw-lQyGGDxw']}"
42,"{'ID': 43, 'name': 'М.Видео', 'address': 'Дмитровское ш., 116Д, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1045995715/?ll=37.548411%2C55.901783&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
